id,question,answer,description,tag,cues_facial,cues_hands,cues_posture,cues_legs
INT-1479,"Can you provide a detailed alibi for the time of the fraud incident at the bank in Buenos Aires, and who can verify it?","I was at a café with my colleagues, having lunch. They can confirm, we were there for an hour.","Basic tactic: Alibi verification in an Argentine fraud case. Setting: lively police station, smell of empanadas. Male suspect, cooperative tone, typical of Buenos Aires’ expressive culture.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-1480,"Did you witness or participate in the molestation incident at the park in Lisbon, and what exactly did you see or do?","I was just jogging, didn’t see anything like that. I stick to my usual route.","Intermediate tactic: Witness probe in a Portuguese molestation case. Setting: quaint police station, smell of pastries. Female suspect, defensive tone, typical of Lisbon’s reserved politeness.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-1481,"Who orchestrated the burglary at the mansion in Dubai, and what specific items were targeted?","I don’t know anything about a burglary. I’m just a cleaner, I work in homes, not rob them.","Advanced tactic: Direct accusation in a UAE burglary case. Setting: sleek police station, city noise. Male suspect, evasive tone, reflecting Dubai’s cautious demeanor.",culprit,"Tense jaw, microexpression of fear",Clasping tightly,"Leaning back, rigid","Crossed, twitching"
INT-1482,"Can you confirm your whereabouts during the physical assault at the bar in Sydney, and who can verify your alibi?","I was at home, watching a cricket match with friends. They can confirm, we were together all night.","Basic tactic: Alibi verification in an Australian assault case. Setting: modern police office, air-conditioned. Female suspect, cooperative tone, reflecting Sydney’s relaxed demeanor.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
INT-1483,"Did you tamper with the financial records in the fraud case in Istanbul, and if so, what was your motive?","No, I didn’t touch any records. I’m just a junior accountant, I don’t have access.","Intermediate tactic: Financial probe in a Turkish fraud case. Setting: warm police station, smell of kebabs. Male suspect, defensive tone, typical of Istanbul’s hospitable demeanor.",culprit,"Quick glance away, tense lips",Fidgeting with pen,"Slouched, defensive",Shuffling on tiled floor
INT-1484,"What was your involvement in the murder in Mumbai, and how did you communicate with the other conspirators?","I don’t know anything about a murder. I’m just a bartender, I serve drinks, nothing else.","Advanced tactic: Conspiracy probe in an Indian murder case. Setting: noisy police station, smell of spices. Female suspect, evasive tone, typical of Mumbai’s fast-paced culture.",culprit,"Neutral, controlled blinking","Steady, minimal movement",Overly composed,"Still, aligned"
INT-1485,"Can you explain your presence at the scene of the burglary in Cape Town, and what were you doing?",I was just buying food at a nearby market. Didn’t know about any burglary.,"Basic tactic: Alibi check in a South African burglary case. Setting: humid police station, fan buzzing. Male suspect, cooperative tone, typical of Cape Town’s open demeanor.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-1486,"Did you participate in the molestation incident at the train station in Buenos Aires, and what exactly did you do?","No, I was just catching a train to work. I didn’t see anything, I was in a hurry.","Intermediate tactic: Probing involvement in an Argentine molestation case. Setting: lively police station, smell of empanadas. Female suspect, defensive tone, typical of Buenos Aires’ expressive culture.",culprit,"Avoids eye contact, slight smirk",Rubbing neck,"Slouched, defensive",Tapping foot on tiled floor
INT-1487,"Who facilitated the illegal wire transfers in the fraud scheme in Hong Kong, and how were the funds laundered?","I don’t know anything about transfers. I’m just a teller, I process transactions.","Advanced tactic: Financial probe in a Hong Kong laundering case. Setting: bustling police station, city noise. Male suspect, evasive tone, reflecting Hong Kong’s fast-paced culture.",culprit,"Tense, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-1488,"Can you provide a detailed alibi for the time of the physical assault at the market in Lisbon, and who can verify it?","I was at a café with my colleagues, having lunch. They can confirm, we were there for an hour.","Basic tactic: Alibi verification in a Portuguese assault case. Setting: quaint police station, smell of pastries. Female suspect, cooperative tone, typical of Lisbon’s reserved politeness.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
INT-1489,"Did you have any role in the burglary at the jewelry store in Mumbai, and if so, what items were targeted?","No, I wasn’t involved. I’m just a security guard, I patrol areas, not rob them.","Intermediate tactic: Probing involvement in an Indian burglary case. Setting: noisy police station, smell of spices. Male suspect, defensive tone, typical of Mumbai’s fast-paced culture.",culprit,"Quick glance away, tense lips",Fidgeting with sleeve,"Slouched, defensive",Shuffling on tiled floor
INT-1490,"What was your role in the murder plot in Sydney, and who else was involved?","I don’t know anything about a plot. I’m just a driver, I drop off packages, nothing else.","Advanced tactic: Conspiracy probe in an Australian murder case. Setting: modern police office, air-conditioned. Female suspect, evasive tone, reflecting Sydney’s relaxed demeanor.",culprit,"Neutral, controlled blinking","Steady, minimal movement",Overly composed,"Still, aligned"
INT-1491,"Can you confirm your whereabouts during the fraud incident at the corporate office in Cape Town, and who can verify your story?","I was at a client meeting, discussing a new project. My boss and the client can confirm.","Basic tactic: Alibi verification in a South African fraud case. Setting: humid police station, fan buzzing. Male suspect, cooperative tone, typical of Cape Town’s open demeanor.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-1492,"Did you tamper with the evidence in the molestation case in Hong Kong, and if so, what was your motive?","No, I didn’t touch any evidence. I’m just a bystander, I wasn’t even involved.","Intermediate tactic: Evidence probe in a Hong Kong molestation case. Setting: bustling police station, city noise. Female suspect, defensive tone, reflecting Hong Kong’s fast-paced culture.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-1493,"Who provided the stolen credit card details in the fraud scheme in Lisbon, and how were they distributed?","I don’t know anything about stolen cards. I’m just a cashier, I scan items, that’s it.","Advanced tactic: Probing a fraud network in a Portuguese case. Setting: quaint police station, smell of pastries. Male suspect, evasive tone, typical of Lisbon’s reserved politeness.",culprit,"Tense, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-1494,"Can you explain why you were near the scene of the physical assault in Buenos Aires, and what did you witness?","I was just shopping at a nearby market, didn’t see any assault. I was focused on my errands.","Basic tactic: Witness check in an Argentine assault case. Setting: lively police station, smell of empanadas. Female suspect, cooperative tone, typical of Buenos Aires’ expressive culture.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
INT-1495,"Did you participate in the burglary at the electronics store in Dubai, and if so, what items were taken?","No, I wasn’t involved. I’m just a stock clerk, I organize inventory, not steal it.","Intermediate tactic: Probing involvement in a UAE burglary case. Setting: sleek police station, city noise. Male suspect, defensive tone, reflecting Dubai’s cautious demeanor.",culprit,"Quick glance away, tense lips",Fidgeting with sleeve,"Slouched, defensive",Shuffling on tiled floor
INT-1496,"What was your role in the murder in Istanbul, and how did you communicate with the other conspirators?","I don’t know anything about a murder. I’m just a bartender, I serve drinks, nothing else.","Advanced tactic: Conspiracy probe in a Turkish murder case. Setting: warm police station, smell of kebabs. Female suspect, evasive tone, typical of Istanbul’s hospitable demeanor.",culprit,"Neutral, controlled blinking","Steady, minimal movement",Overly composed,"Still, aligned"
INT-1497,"Can you provide a detailed alibi for the time of the fraud incident at the bank in Mumbai, and who can verify it?","I was at a café with my colleagues, having lunch. They can confirm, we were there for an hour.","Basic tactic: Alibi verification in an Indian fraud case. Setting: noisy police station, smell of spices. Male suspect, cooperative tone, typical of Mumbai’s fast-paced culture.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-1498,"Did you witness or participate in the molestation incident at the park in Cape Town, and what exactly did you see or do?","I was just jogging, didn’t see anything like that. I stick to my usual route.","Intermediate tactic: Witness probe in a South African molestation case. Setting: humid police station, fan buzzing. Female suspect, defensive tone, typical of Cape Town’s open demeanor.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-1499,"Who orchestrated the burglary at the mansion in Hong Kong, and what specific items were targeted?","I don’t know anything about a burglary. I’m just a cleaner, I work in homes, not rob them.","Advanced tactic: Direct accusation in a Hong Kong burglary case. Setting: bustling police station, city noise. Male suspect, evasive tone, reflecting Hong Kong’s fast-paced culture.",culprit,"Tense jaw, microexpression of fear",Clasping tightly,"Leaning back, rigid","Crossed, twitching"
INT-1500,"Can you confirm your whereabouts during the physical assault at the bar in Lisbon, and who can verify your alibi?","I was at home, watching a football match with friends. They can confirm, we were together all night.","Basic tactic: Alibi verification in a Portuguese assault case. Setting: quaint police station, smell of pastries. Female suspect, cooperative tone, typical of Lisbon’s reserved politeness.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
INT-1501,"Can you detail your activities on the day of the suspected embezzlement in Jakarta, including any financial transactions?","I was just paying bills and shopping for groceries online, nothing special.","Basic tactic: Alibi verification in an Indonesian financial crime case. Setting: humid police station, smell of street food. Male suspect, cooperative tone, reflecting Jakarta’s bustling culture.",genuine,"Steady eye contact, slight nod","Resting on table, relaxed","Upright, leaning forward","Still, feet flat on tiled floor"
INT-1502,"Did you have any involvement in the murder of the restaurant owner in Cairo, and if so, what was your role?","No, I didn’t know them. I was at a café with friends, drinking tea.","Intermediate tactic: Probing a murder case in Egypt. Setting: noisy police station, smell of shawarma. Female suspect, defensive tone, typical of Cairo’s vibrant demeanor.",culprit,"Avoids eye contact, tense jaw",Fidgeting with scarf,"Slouched, arms crossed",Tapping foot on concrete floor
INT-1503,"Who orchestrated the investment scam in Shanghai, and what actions did you take to facilitate it?","I’m just a sales assistant, I sent out promotional emails as told. I don’t know about any scam.","Advanced tactic: Confrontational probe in a Chinese fraud case. Setting: modern police station, city noise. Male suspect, evasive tone, reflecting Shanghai’s professional caution.",culprit,"Microexpression of panic, rapid blinking",Clenched under table,"Rigid, leaning back","Crossed tightly, twitching"
INT-1504,"What were you doing near the gallery in London during the burglary, and can you name any witnesses?","I was just walking, enjoying the evening. It was busy, no specific witnesses.","Unconventional tactic: Psychological probing in a UK burglary case. Setting: formal police station, faint city hum. Female suspect, overly calm tone, reflecting London’s reserved demeanor.",culprit,"Overly neutral, controlled blinking",Gripping phone,"Stiff, overly composed","Still, aligned symmetrically"
INT-1505,"Can you explain your whereabouts during the physical assault at the market in Mexico City, and who did you interact with?","I was at the market, buying fruit with my cousin. Didn’t see any fights, we left early.","Basic tactic: Alibi check in a Mexican assault case. Setting: lively police station, smell of tacos. Male suspect, cooperative tone, typical of Mexico City’s vibrant energy.",genuine,"Relaxed, consistent eye contact",Gesturing naturally,"Leaning forward, engaged","Uncrossed, relaxed on tiled floor"
INT-1506,"Did you witness or participate in the molestation incident at the subway in São Paulo, and if so, what did you see or do?","I was just catching my train, didn’t see anything. I was listening to music.","Intermediate tactic: Witness probe in a Brazilian molestation case. Setting: humid police station, faint samba music. Female suspect, defensive tone, typical of São Paulo’s energetic culture.",culprit,"Quick glance away, pursed lips",Fidgeting with earphones,"Slouched, defensive",Shifting on chair
INT-1507,"Who authorized the unauthorized transfers from the corporate account in Kuala Lumpur, and how were they concealed?",I just followed my supervisor’s orders to process payments. I don’t know about any cover-up.,"Advanced tactic: Financial probe in a Malaysian embezzlement case. Setting: modern police station, smell of nasi lemak. Male suspect, evasive tone, typical of Kuala Lumpur’s polite demeanor.",culprit,"Forced smile, fleeting fear",Clasping tightly under desk,"Leaning back, rigid","Crossed, twitching"
INT-1508,"Did you have prior knowledge of the murder plot in Berlin, and if so, what details were you aware of?","No, I don’t know anything about a murder. I’m just a barista, I make coffee.","Intermediate tactic: Conspiracy probe in a German murder case. Setting: orderly police station, faint traffic noise. Female suspect, defensive tone, typical of Berlin’s straightforward demeanor.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, arms crossed",Tapping foot on tiled floor
INT-1509,"What was your role in the credit card fraud scheme in Bangkok, and how did you obtain the stolen card details?","I’m just a waiter, I take orders and serve food. I don’t deal with cards.","Unconventional tactic: Feigned casual questioning in a Thai fraud case. Setting: humid police station, smell of street food. Male suspect, overly casual tone, reflecting Bangkok’s polite restraint.",culprit,"Forced smile, rapid blinking",Fidgeting with pen,"Slouched, overly casual",Shuffling on tiled floor
INT-1510,"Can you confirm your whereabouts during the burglary at the jewelry store in Nairobi, and who can verify your alibi?","I was at a café with my sister, having lunch. She can confirm, we were there all afternoon.","Basic tactic: Alibi verification in a Kenyan burglary case. Setting: warm police station, smell of jollof rice. Female suspect, cooperative tone, typical of Nairobi’s assertive demeanor.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-1511,"Did you participate in the physical assault at the nightclub in Dubai, and if so, what prompted your actions?","No, I wasn’t there. I was at home, watching a movie with friends.","Intermediate tactic: Probing involvement in a UAE assault case. Setting: sleek police station, city noise. Male suspect, defensive tone, reflecting Dubai’s cautious demeanor.",culprit,"Avoids eye contact, tense lips",Rubbing neck nervously,"Slouched, arms crossed",Tapping foot on tiled floor
INT-1512,"Who provided the forged documents used in the fraud case in Tokyo, and how were they distributed?","I’m just a receptionist, I don’t handle documents like that. I just answer phones.","Advanced tactic: Probing a fraud network in a Japanese case. Setting: modern police station, train noise. Female suspect, evasive tone, reflecting Tokyo’s reserved demeanor.",culprit,"Blank stare, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-1513,"Can you explain why you were at the scene of the murder in Istanbul, and what did you observe?","I was just passing by, heading to a tea shop. Didn’t see anything unusual.","Basic tactic: Witness check in a Turkish murder case. Setting: warm police station, smell of kebabs. Male suspect, cooperative tone, typical of Istanbul’s hospitable demeanor.",genuine,"Calm, steady eye contact","Open, resting on table","Upright, attentive","Still, feet flat"
INT-1514,"Did you tamper with the financial records at the firm in São Paulo, and if so, what was your motive?","No, I didn’t touch any records. I’m just a clerk, I don’t have access to that system.","Intermediate tactic: Financial probe in a Brazilian fraud case. Setting: humid police station, faint samba music. Female suspect, defensive tone, typical of São Paulo’s energetic culture.",culprit,"Quick glance down, pursed lips",Fidgeting with sleeve,"Slouched, defensive",Shuffling on tiled floor
INT-1515,"What was your involvement in the burglary at the mansion in Shanghai, and what items were targeted?","I don’t know anything about a burglary. I’m just a gardener, I take care of plants.","Advanced tactic: Direct accusation in a Chinese burglary case. Setting: modern police station, city noise. Male suspect, evasive tone, reflecting Shanghai’s professional caution.",culprit,"Neutral, controlled blinking","Steady, minimal movement",Overly composed,"Still, aligned on concrete"
INT-1516,"Can you provide a detailed timeline of your actions during the physical assault at the market in Jakarta, and who else was present?","I was shopping for spices with my cousin, didn’t see any assault. We were there for an hour.","Basic tactic: Alibi check in an Indonesian assault case. Setting: humid police station, smell of street food. Female suspect, cooperative tone, reflecting Jakarta’s bustling culture.",genuine,"Relaxed, consistent eye contact",Gesturing naturally,"Upright, engaged","Uncrossed, relaxed"
INT-1517,"Did you have any role in the molestation incident at the train station in Cairo, and what exactly did you do?","No, I was just commuting to work. I didn’t see anything, I was in a rush.","Intermediate tactic: Probing involvement in an Egyptian molestation case. Setting: noisy police station, smell of shawarma. Male suspect, defensive tone, typical of Cairo’s vibrant demeanor.",culprit,"Avoids eye contact, slight smirk",Clenching fists,"Leaning back, defensive",Tapping rapidly on tiled floor
INT-1518,"Who facilitated the illegal transfers in the financial scam in Berlin, and how were the funds laundered?","I don’t know anything about transfers. I’m just a teller, I process deposits, nothing shady.","Advanced tactic: Financial probe in a German laundering case. Setting: orderly police station, faint traffic noise. Female suspect, evasive tone, typical of Berlin’s straightforward demeanor.",culprit,"Tense, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-1519,"Why were you seen near the crime scene of the murder in Mexico City, and what were you doing?","I was visiting a friend nearby, just chilling. Didn’t know about any crime.","Unconventional tactic: Feigned empathy in a Mexican murder case. Setting: lively police station, smell of tacos. Male suspect, emotional tone, typical of Mexico City’s vibrant energy.",culprit,"Forced smile, quick glance away",Fidgeting with phone,"Slouched, overly casual",Shuffling on tiled floor
INT-1520,"Can you confirm your alibi for the time of the fraud incident at the bank in Kuala Lumpur, and who can corroborate it?","I was at a restaurant with coworkers, having lunch. They can back me up, we were there for an hour.","Basic tactic: Alibi verification in a Malaysian fraud case. Setting: modern police station, smell of nasi lemak. Female suspect, cooperative tone, typical of Kuala Lumpur’s polite demeanor.",genuine,"Calm, open expression",Resting on table,"Upright, attentive","Still, feet flat"
INT-1521,"Did you participate in the physical assault at the carnival in São Paulo, and if so, what triggered your actions?","No, I was just dancing with friends. Didn’t see any fights, we were enjoying the music.","Intermediate tactic: Probing involvement in a Brazilian assault case. Setting: humid police station, faint samba music. Male suspect, defensive tone, typical of São Paulo’s energetic culture.",culprit,"Avoids eye contact, pursed lips",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-1522,"What was your role in the burglary at the jewelry store in London, and how did you gain entry?","I don’t know anything about a burglary. I’m just a delivery driver, I drop off packages.","Advanced tactic: Direct accusation in a UK burglary case. Setting: formal police station, faint city hum. Female suspect, evasive tone, reflecting London’s reserved demeanor.",culprit,"Neutral, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-1523,"Can you provide a detailed account of your actions during the fraud investigation in Jakarta, and who else was involved?",I was just processing client payments as usual. I don’t know about any fraud.,"Basic tactic: Routine questioning in an Indonesian fraud case. Setting: humid police station, smell of street food. Male suspect, cooperative tone, reflecting Jakarta’s bustling culture.",genuine,"Relaxed, steady eye contact","Open, resting on table","Upright, engaged","Still, feet flat"
INT-1524,"Did you have any prior knowledge of the molestation incident at the mall in Cairo, and if so, what did you do?","No, I wasn’t at the mall. I was at home, studying for an exam.","Intermediate tactic: Probing knowledge in an Egyptian molestation case. Setting: noisy police station, smell of shawarma. Female suspect, defensive tone, typical of Cairo’s vibrant demeanor.",culprit,"Quick glance down, tense lips",Fidgeting with sleeve,"Slouched, defensive",Shuffling on tiled floor
INT-1525,"Who orchestrated the murder in Shanghai, and what specific instructions were given to you?","I don’t know anything about a murder. I’m just a waiter, I serve food, not plots.","Advanced tactic: Conspiracy probe in a Chinese murder case. Setting: modern police station, city noise. Male suspect, evasive tone, reflecting Shanghai’s professional caution.",culprit,"Tense jaw, microexpression of fear",Clasping tightly,"Leaning back, rigid","Crossed, twitching"
INT-1526,"Can you explain why you were near the bank during the embezzlement in Berlin, and what were you doing?","I was just depositing a check for my brother. I was in and out, didn’t see anything suspicious.","Basic tactic: Alibi check in a German financial crime case. Setting: orderly police station, faint traffic noise. Female suspect, cooperative tone, typical of Berlin’s straightforward demeanor.",genuine,"Calm, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-1527,"Did you tamper with the security footage at the jewelry store in Kuala Lumpur, and if so, how did you cover your tracks?","No, I don’t have access to security systems. I’m just a sales clerk, I help customers.","Intermediate tactic: Evidence probe in a Malaysian burglary case. Setting: modern police station, smell of nasi lemak. Male suspect, defensive tone, typical of Kuala Lumpur’s polite demeanor.",culprit,"Avoids eye contact, slight smirk",Rubbing neck,"Slouched, defensive",Tapping foot on concrete floor
INT-1528,"What was your role in the physical assault at the concert in Mexico City, and who else was involved?","I was just there for the music, didn’t see any fights. I stayed near the stage with friends.","Basic tactic: Witness check in a Mexican assault case. Setting: lively police station, smell of tacos. Female suspect, cooperative tone, typical of Mexico City’s vibrant energy.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
INT-1529,"Did you forge the documents used in the fraud scheme in São Paulo, and if so, what tools did you use?","No, I don’t know how to forge anything. I’m just an office assistant, I file papers.","Intermediate tactic: Probing a fraud network in a Brazilian case. Setting: humid police station, faint samba music. Male suspect, defensive tone, typical of São Paulo’s energetic culture.",culprit,"Quick glance away, pursed lips",Fidgeting with pen,"Slouched, defensive",Shuffling on tiled floor
INT-1530,"Who was the target of the murder in London, and what was your motive for participating?","I don’t know anything about a murder. I’m just a shopkeeper, I sell clothes, not involved in crimes.","Advanced tactic: Direct accusation in a UK murder case. Setting: formal police station, faint city hum. Female suspect, evasive tone, reflecting London’s reserved demeanor.",culprit,"Neutral, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-1531,"Can you provide a detailed alibi for the time of the burglary at the art gallery in Nairobi, and who can verify it?","I was at a friend’s house, watching a movie. My friend and his sister can confirm.","Basic tactic: Alibi verification in a Kenyan burglary case. Setting: warm police station, smell of jollof rice. Male suspect, cooperative tone, typical of Nairobi’s assertive demeanor.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-1532,"Did you participate in the molestation incident at the subway in Jakarta, and what exactly did you do?","No, I was just commuting to work. I didn’t see anything, I was in a rush.","Intermediate tactic: Probing involvement in an Indonesian molestation case. Setting: humid police station, smell of street food. Female suspect, defensive tone, reflecting Jakarta’s bustling culture.",culprit,"Avoids eye contact, slight smirk",Rubbing neck,"Slouched, defensive",Tapping foot on tiled floor
INT-1533,"Who facilitated the illegal transfers in the financial scam in Cairo, and how were the funds laundered?","I don’t know anything about scams. I’m just a bank teller, I process transactions.","Advanced tactic: Financial probe in an Egyptian laundering case. Setting: noisy police station, smell of shawarma. Male suspect, evasive tone, typical of Cairo’s vibrant demeanor.",culprit,"Tense, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-1534,"Can you explain your presence at the scene of the physical assault in Shanghai, and what did you witness?","I was just shopping at a nearby market, didn’t see any assault. I was focused on my errands.","Basic tactic: Witness check in a Chinese assault case. Setting: modern police station, city noise. Female suspect, cooperative tone, reflecting Shanghai’s professional caution.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
INT-1535,"Did you have any role in the burglary at the electronics store in Kuala Lumpur, and if so, what items were taken?","No, I wasn’t involved. I’m just a stock clerk, I organize inventory, not steal it.","Intermediate tactic: Probing involvement in a Malaysian burglary case. Setting: modern police station, smell of nasi lemak. Male suspect, defensive tone, typical of Kuala Lumpur’s polite demeanor.",culprit,"Quick glance away, tense lips",Fidgeting with sleeve,"Slouched, defensive",Shuffling on tiled floor
INT-1536,"What was your involvement in the murder plot in Mexico City, and who else was part of the conspiracy?","I don’t know anything about a plot. I’m just a driver, I drop off packages, nothing else.","Advanced tactic: Conspiracy probe in a Mexican murder case. Setting: lively police station, smell of tacos. Female suspect, evasive tone, typical of Mexico City’s vibrant energy.",culprit,"Neutral, controlled blinking","Steady, minimal movement",Overly composed,"Still, aligned"
INT-1537,"Can you confirm your whereabouts during the fraud incident at the insurance firm in Berlin, and who can verify your story?","I was at a restaurant with colleagues, having dinner. They can confirm, we were there all evening.","Basic tactic: Alibi verification in a German fraud case. Setting: orderly police station, faint traffic noise. Male suspect, cooperative tone, typical of Berlin’s straightforward demeanor.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-1538,"Did you tamper with the evidence in the molestation case in São Paulo, and if so, what was your motive?","No, I didn’t touch any evidence. I’m just a bystander, I wasn’t even involved.","Intermediate tactic: Evidence probe in a Brazilian molestation case. Setting: humid police station, faint samba music. Female suspect, defensive tone, typical of São Paulo’s energetic culture.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-1539,"Who provided the stolen credit card details in the fraud scheme in London, and how were they distributed?","I don’t know anything about stolen cards. I’m just a cashier, I scan items, that’s it.","Advanced tactic: Probing a fraud network in a UK case. Setting: formal police station, faint city hum. Male suspect, evasive tone, reflecting London’s reserved demeanor.",culprit,"Tense, rapid blinking",Hidden under table,"Rigid, leaning away","Crossed, twitching"
INT-1540,"Can you explain why you were near the scene of the burglary in Jakarta, and what were you doing?",I was just grabbing coffee at a nearby café. Didn’t know about any burglary.,"Basic tactic: Alibi check in an Indonesian burglary case. Setting: humid police station, smell of street food. Female suspect, cooperative tone, reflecting Jakarta’s bustling culture.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
INT-1541,"Did you participate in the physical assault at the beach in Cairo, and what triggered the incident?","No, I was just there for a walk, didn’t see any fights. I left before anything happened.","Intermediate tactic: Probing involvement in an Egyptian assault case. Setting: noisy police station, smell of shawarma. Male suspect, defensive tone, typical of Cairo’s vibrant demeanor.",culprit,"Quick glance away, pursed lips",Fidgeting with sleeve,"Slouched, defensive",Shuffling on tiled floor
INT-1542,"What was your role in the murder in Shanghai, and how did you communicate with the other conspirators?","I don’t know anything about a murder. I’m just a security guard, I patrol buildings.","Advanced tactic: Conspiracy probe in a Chinese murder case. Setting: modern police station, city noise. Female suspect, evasive tone, reflecting Shanghai’s professional caution.",culprit,"Neutral, slight sweat",Clenched under table,"Rigid, leaning back",Crossed tightly
INT-1543,"Can you provide a detailed timeline of your actions during the fraud incident at the bank in Mexico City, and who else was involved?","I was just processing deposits as usual. I don’t know about any fraud, I follow procedures.","Basic tactic: Routine questioning in a Mexican fraud case. Setting: lively police station, smell of tacos. Male suspect, cooperative tone, typical of Mexico City’s vibrant energy.",genuine,"Relaxed, steady eye contact","Open, resting on table","Upright, engaged","Still, feet flat"
INT-1544,"Did you witness or participate in the molestation incident at the park in Kuala Lumpur, and what exactly did you see or do?","I was just jogging, didn’t see anything like that. I stick to my usual route.","Intermediate tactic: Witness probe in a Malaysian molestation case. Setting: modern police station, smell of nasi lemak. Female suspect, defensive tone, typical of Kuala Lumpur’s polite demeanor.",culprit,"Avoids eye contact, furrowed brow",Rubbing hands together,"Slouched, defensive",Tapping foot on tiled floor
INT-1545,"Who orchestrated the burglary at the mansion in Berlin, and what specific items were targeted?","I don’t know anything about a burglary. I’m just a cleaner, I work in homes, not rob them.","Advanced tactic: Direct accusation in a German burglary case. Setting: orderly police station, faint traffic noise. Male suspect, evasive tone, typical of Berlin’s straightforward demeanor.",culprit,"Tense jaw, microexpression of fear",Clasping tightly,"Leaning back, rigid","Crossed, twitching"
INT-1546,"Can you confirm your whereabouts during the physical assault at the bar in São Paulo, and who can verify your alibi?","I was at home, watching a football match with my roommate. He can confirm, we were together all night.","Basic tactic: Alibi verification in a Brazilian assault case. Setting: humid police station, faint samba music. Female suspect, cooperative tone, typical of São Paulo’s energetic culture.",genuine,"Calm, steady eye contact",Resting on table,"Upright, engaged","Still, feet flat"
INT-1547,"Did you tamper with the financial records in the fraud case in Jakarta, and if so, what was your motive?","No, I didn’t touch any records. I’m just a junior accountant, I don’t have access.","Intermediate tactic: Financial probe in an Indonesian fraud case. Setting: humid police station, smell of street food. Male suspect, defensive tone, reflecting Jakarta’s bustling culture.",culprit,"Quick glance away, tense lips",Fidgeting with pen,"Slouched, defensive",Shuffling on tiled floor
INT-1548,"What was your involvement in the murder plot in London, and who else was involved?","I don’t know anything about a plot. I’m just a driver, I drop off packages, nothing else.","Advanced tactic: Conspiracy probe in a UK murder case. Setting: formal police station, faint city hum. Female suspect, evasive tone, reflecting London’s reserved demeanor.",culprit,"Neutral, controlled blinking","Steady, minimal movement",Overly composed,"Still, aligned"
INT-1549,"Can you explain your presence at the scene of the burglary in Cairo, and what were you doing?",I was just buying bread at a nearby bakery. Didn’t know about any burglary.,"Basic tactic: Alibi check in an Egyptian burglary case. Setting: noisy police station, smell of shawarma. Male suspect, cooperative tone, typical of Cairo’s vibrant demeanor.",genuine,"Relaxed, open expression",Gesturing naturally,"Upright, attentive","Relaxed, uncrossed"
INT-1550,"Did you participate in the molestation incident at the train station in Shanghai, and what exactly did you do?","No, I was just catching a train to work. I didn’t see anything, I was in a hurry.","Intermediate tactic: Probing involvement in a Chinese molestation case. Setting: modern police station, city noise. Female suspect, defensive tone, reflecting Shanghai’s professional caution.",culprit,"Avoids eye contact, slight smirk",Rubbing neck,"Slouched, defensive",Tapping foot on tiled floor
